id,question,ground_truth,predicted,exact_match,contains_match,token_f1,passed,latency_ms,returncode,stderr
1,Cuộc họp để trao đổi về kết quả kinh doanh Q1/2026 sẽ diễn ra vào ngày nào?,Cuộc họp sẽ diễn ra vào ngày 08/05/2026.,Cuộc họp để trao đổi về kết quả kinh doanh Q1/2026 sẽ diễn ra vào ngày 08/05/2026.,False,False,0.64,False,17602,0,
2,Vào thời gian nào cuộc họp sẽ diễn ra (giờ Việt Nam)?,Cuộc họp sẽ diễn ra vào 8:00 (giờ Việt Nam).,Cuộc họp sẽ diễn ra vào 8:00 ngày 08/05/2026 (giờ Việt Nam).,False,False,0.9091,False,13739,0,
3,Công ty nào sẽ tổ chức cuộc họp?,Công ty Cổ phần Sữa Việt Nam (VNM) sẽ tổ chức cuộc họp.,Công ty Cổ phần Sữa Việt Nam (“VNM” hoặc “Công ty”) sẽ tổ chức cuộc họp.,False,False,0.8276,False,15415,0,
4,Báo cáo tài chính liên quan đến cuộc họp có thể tìm thấy ở đâu?,Báo cáo tài chính có thể tìm thấy trên trang Quan hệ Nhà đầu tư của Công ty.,Báo cáo tài chính đã được công bố trên trang Quan hệ Nhà đầu tư của Công ty.,False,False,0.7778,False,16026,0,
5,Doanh thu và lợi nhuận sau thuế dự kiến của năm 2026 là bao nhiêu?,Doanh thu dự kiến là 66.477 tỷ đồng và lợi nhuận sau thuế là 9.828 tỷ đồng.,Doanh thu và lợi nhuận sau thuế dự kiến của năm 2026 lần lượt là 66.477 tỷ đồng và 9.828 tỷ đồng.,False,False,0.8205,False,16859,0,
6,Tỷ lệ tăng trưởng dự kiến của doanh thu và lợi nhuận sau thuế so với cùng kỳ là bao nhiêu?,"Tăng trưởng 4,3% và 4,4% so với cùng kỳ.","Tỷ lệ tăng trưởng dự kiến của doanh thu và lợi nhuận sau thuế so với cùng kỳ lần lượt là 4,3% và 4,4%.",False,False,0.4242,False,16600,0,
7,Mức cổ tức bằng tiền đợt cuối năm 2025 là bao nhiêu mỗi cổ phiếu?,1.850 đồng/cổ phiếu.,Mức cổ tức bằng tiền đợt cuối năm 2025 là 1.850 đồng/cổ phiếu.,False,True,0.375,False,17012,0,
8,Kế hoạch cổ tức bằng tiền năm 2026 tối thiểu là bao nhiêu so với kế hoạch lợi nhuận sau thuế?,Tối thiểu bằng 50% kế hoạch lợi nhuận sau thuế.,Tối thiểu bằng 50% kế hoạch lợi nhuận sau thuế.,True,True,1.0,True,15133,0,
9,ROE của công ty trong 12 tháng gần nhất đến ngày 31/03/2026 là bao nhiêu?,"27,7%","ROE của công ty trong 12 tháng gần nhất đến ngày 31/03/2026 là 27,7%.",False,True,0.0,False,17707,0,
10,Số ngày hàng tồn kho của công ty đến ngày 31/03/2025 là bao nhiêu?,69,Số ngày hàng tồn kho của công ty đến ngày 31/03/2025 là 69.,False,True,0.0,False,18225,0,
11,ROIC trong 12 tháng gần nhất đến ngày 31/03/2025 là bao nhiêu?,"23,2%","ROIC trong 12 tháng gần nhất đến ngày 31/03/2025 là 23,2%.",False,True,0.0,False,17723,0,
12,Tình hình tài chính của công ty được mô tả như thế nào?,Luôn được duy trì trong trạng thái kiểm soát tốt và lành mạnh.,Tình hình tài chính của công ty luôn được duy trì trong trạng thái kiểm soát tốt và lành mạnh.,False,True,0.7879,True,16422,0,
13,Tổng tài sản của công ty vào ngày 31/03/2026 là bao nhiêu?,55.429 tỷ đồng,Tổng tài sản của công ty vào ngày 31/03/2026 là 55.429 tỷ đồng.,False,True,0.25,False,18008,0,
14,Tiền và các khoản tương đương tiền vào ngày 31/03/2025 là bao nhiêu?,25.709 tỷ đồng,Tiền và các khoản tương đương tiền vào ngày 31/03/2025 là 25.709 tỷ đồng.,False,True,0.2353,False,18210,0,
15,Tỷ lệ nợ vay trên tổng tài sản vào ngày 31/03/2025 là bao nhiêu?,"18,6%","Tỷ lệ nợ vay trên tổng tài sản vào ngày 31/03/2025 là 18,6%.",False,True,0.0,False,17429,0,
16,Tỷ lệ tiền và các khoản tương đương tiền trên tổng tài sản vào ngày 31/03/2026 là bao nhiêu?,"45,2%","Tỷ lệ tiền và các khoản tương đương tiền trên tổng tài sản vào ngày 31/03/2026 là 45,2%.",False,True,0.0,False,17414,0,
17,"Tính đến ngày 31/03/2026, tổng tài sản của công ty đạt bao nhiêu tỷ đồng?",55.429 tỷ đồng,"Tính đến ngày 31/03/2026, tổng tài sản của công ty đạt 55.429 tỷ đồng.",False,True,0.2353,False,18378,0,
18,Tiền mặt và các khoản đầu tư tài chính ngắn hạn chiếm bao nhiêu phần trăm tổng tài sản?,"45,2%","Tiền mặt và các khoản đầu tư tài chính ngắn hạn chiếm 45,2% tổng tài sản.",False,True,0.1176,False,16695,0,
19,Các nhóm nguyên vật liệu đầu vào nào có xu hướng tăng giá?,"Nguyên liệu sữa, năng lượng và bao bì nhựa","Các nhóm nguyên vật liệu đầu vào có xu hướng tăng giá là nguyên liệu sữa, năng lượng và bao bì nhựa.",False,True,0.5161,False,16788,0,
20,Công ty đã triển khai những biện pháp nào để quản trị rủi ro?,Xây dựng mức tồn kho an toàn và lập kế hoạch thu mua phù hợp,"Công ty đã chủ động triển khai các biện pháp quản trị rủi ro, bao gồm xây dựng mức tồn kho an toàn và lập kế hoạch thu mua phù hợp nhằm đảm bảo nguồn cung ổn định cho hoạt động sản xuất.",False,True,0.5172,False,17302,0,
21,Doanh thu thuần và lợi nhuận sau thuế của Sữa Mộc Châu đạt bao nhiêu trong Q1/2026?,Doanh thu thuần đạt 742 tỷ đồng và lợi nhuận sau thuế đạt 80 tỷ đồng.,Doanh thu thuần và lợi nhuận sau thuế của Sữa Mộc Châu đạt 742 tỷ đồng và 80 tỷ đồng trong Q1/2026.,False,False,0.7368,False,18931,0,
22,Mục tiêu của Mộc Châu Milk trong năm 2026 là gì?,Đẩy mạnh mở rộng mạng lưới phân phối vào thị trường miền Nam và hướng tầm nhìn ra thị trường quốc tế.,Mục tiêu của Mộc Châu Milk trong năm 2026 là đẩy mạnh mở rộng mạng lưới phân phối vào thị trường miền Nam đầy tiềm năng và hướng tầm nhìn ra thị trường quốc tế.,False,False,0.7719,False,17841,0,
23,Angkor Milk có sự tăng trưởng như thế nào về doanh thu và lợi nhuận so với cùng kỳ?,"Doanh thu tăng gần gấp 3 lần và lợi nhuận tăng gấp hơn 2,5 lần so với cùng kỳ.","Doanh thu và lợi nhuận sau thuế của Angkor Milk tăng trưởng gấp hơn 2,5 lần và gần gấp 3 lần so với cùng kỳ.",False,False,0.8182,False,17262,0,
24,Tại sao doanh thu của Driftwood giảm?,Do điều chỉnh theo cơ chế giá thỏa thuận với khách hàng khi giá sữa tươi nguyên liệu giảm.,Doanh thu của Driftwood giảm ~ 5% do điều chỉnh theo cơ chế giá thỏa thuận với khách hàng khi giá sữa tươi nguyên liệu giảm.,False,True,0.8444,True,16016,0,
25,Doanh thu thuần hợp nhất của quý 1/2026 là bao nhiêu?,16.149 tỷ đồng.,Doanh thu thuần hợp nhất của quý 1/2026 là 16.149 tỷ đồng.,False,True,0.4,False,17271,0,
26,Tỷ lệ tăng trưởng của doanh thu thuần so với quý 1/2025 là bao nhiêu?,"24,6%.","Tỷ lệ tăng trưởng của doanh thu thuần so với quý 1/2025 là 24,6%.",False,True,0.1333,False,18180,0,
27,Ngành hàng nào đóng vai trò là nền tảng tăng trưởng bền vững cho Công ty?,Các ngành hàng trọng tâm.,Ngành sữa nước đóng vai trò là nền tảng tăng trưởng bền vững cho Công ty.,False,False,0.0952,False,16502,0,
28,"Ngày 30/03/2026, Vinamilk đã khai trương cửa hàng Flagship ở đâu?","Phnom Penh, Campuchia.","Ngày 30/03/2026, Vinamilk đã chính thức khai trương cửa hàng Flagship tại Phnom Penh, Campuchia.",False,True,0.3333,False,17959,0,
29,Bản tin nhà đầu tư được phát hành vào ngày nào?,Ngày 29 tháng 04 năm 2026.,Bản tin nhà đầu tư được phát hành vào ngày 29 tháng 04 năm 2026.,False,True,0.5714,False,15189,0,
30,Công ty nào đã soát xét báo cáo tài chính của Vinamilk?,Công ty kiểm toán KPMG.,Công ty kiểm toán KPMG đã soát xét báo cáo tài chính của Vinamilk.,False,False,0.4211,False,16795,0,
31,Đại hội đồng cổ đông thường niên của Công ty đã diễn ra khi nào?,Ngày 22/04/2026.,Đại hội đồng cổ đông thường niên của Công ty đã diễn ra vào ngày 22/04/2026.,False,True,0.2222,False,17059,0,
